"filename", "language", "C++", "JSON", "YAML", "Dart", "Markdown", "Swift", "XML", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\medal2.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\medal3.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\firebase.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 1, 45
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\admin\admin_chat_card.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 3, 69
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\admin\admin_chat_page.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 2, 4, 115
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\admin\admin_panel_page.dart", "Dart", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 3, 6, 119
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\auth_gate.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 2, 34
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\onboarding_view.dart", "Dart", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\signin_view.dart", "Dart", 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 12, 9, 296
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\signup_view.dart", "Dart", 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 11, 8, 324
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\components\colors.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\components\my_button.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 2, 44
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\components\normal_text_form_filed.dart", "Dart", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 1, 8, 88
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\components\pw_text_form_filed.dart", "Dart", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 1, 6, 101
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\components\show_snack_bar.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\firebase_options.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 12, 7, 89
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\helper\collection_manger.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 5, 37
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\helper\get_user_email.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\helper\logout_method.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 2, 17
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\helper\open_url.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\helper\web_view.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\main.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 4, 42
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\models\courses_card_model.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\models\gemini_message_model.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\models\message_model.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\models\samples.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 5, 48
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\models\videos_model.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\AI_chat_page.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 6, 102
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\challenges_page.dart", "Dart", 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 11, 7, 366
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\chat_page.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 76
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\course_info.dart", "Dart", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 7, 5, 254
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\courses_list_page.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 2, 139
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\game_page.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\home_page.dart", "Dart", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 5, 6, 212
